"pid","trial","rule","rule_nr","rule_re","condition","accuracy","report_rule"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","5","I know that two triangles, no matter the colour, causes a reaction. A triangle and one other rock didn't cause the reaction and neither did three triangles. The other three options on the bottom row do have two triangles but I think that the introduction of a third element prevents the reaction happening. The ones without a triangle wouldn't cause radiation."
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","8","Needs to have 3 square rocks. Colour doesn't seem to have an impact but can't have any other shape or amount."
"1","8","There is exactly one square-shaped rock.","6","Shape","1","5","I know that a single square causes radiation but two definitely doesn't. Unsure about the other arrangements as 3 rocks of the same colour but different shapes also does but this isn't an option here."
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","6","Shape and quantity more than colour produce radiation"
"2","23","There are exactly three green rocks.","14","Colour","1","8","Three blocks of any green shape is required to produce radiation on planet E"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","I think rocks of the same shape and colour produce radiation and that colour combinations inhibit radiation"
"3","26","There are exactly three purple rocks.","15","Colour","3","8","The rule is 3 rocks of the same colour but not the same shape. "
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","5","2 triangles is the rule"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","8","The rule is one square, any colour. "
"4","8","There is exactly one purple rock.","3","Colour","2","5","Planet D needs to be 1 purple square to cause radiation"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","5","radiation occurs with 3 squares regardless of colour"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","5","need to be 2 triangles, although did not test whether 2 of the same shape different colour would work"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","6","Must be 3 rectangle shapes of the same colour"
"5","4","There is exactly one green rock.","2","Colour","2","8","Must have only one blue shape"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","6","Must have at least two rectangles"
"6","25","There are exactly three purple rocks.","15","Colour","2","5","Three purple shapes causes radiation"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","5","Any two triangles will cause radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","5","Any square on it's own will cause radiation when heated"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","3","I believe that the two triangles will make the radiation"
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","8","it looks like as long as it has three squares, it doesn't matter what colour they are"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","5","I believe two triangles is the key"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","4","The radiation has to contain a square but it can only be one colour and the other shapes cant be red"
"8","18","There are exactly three red rocks.","13","Colour","1","6","three same red objects"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","7","it had to have 2 rectangles"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","5","Only two squares"
"9","1","There is exactly one red rock.","1","Colour","1","3","Radiation can only be caused on Planet E when you have either one or two identical red shapes."
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","5","In Planet F, three squares are required to cause radiation. They can be of different colours."
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","5","All blue colour but 2 sticks and one other shape"
"10","26","There are exactly three purple rocks.","15","Colour","1","8","All blue but any sequence of shapes"
"10","4","There is exactly one green rock.","2","Colour","1","5","Single shape only green colour"
"11","24","There are exactly three purple rocks.","15","Colour","3","8","All the rocks on planet d have to be purple. It does not matter what shape they are "
"11","12","There are exactly two green rocks.","8","Colour","3","8","Only 2 rocks have to be green to cause radiation. The shapes don't matter as long as 2 rocks are green "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","8","Planet F only needs one square shape to cause radiation. The colour of the square does not matter, just the presence of one square in every sequence"
"12","16","There are exactly two purple rocks.","9","Colour","3","8","2 shapes of purple colour (no matter the shape) cause radiation"
"12","21","There are exactly three green rocks.","14","Colour","3","8","3 green shapes causes radiation"
"12","1","There is exactly one triangle-shaped rock.","5","Shape","3","6","One red triangle only causes radiation (can be in combination of 2 other shapes) "
"13","2","There is exactly one square-shaped rock.","6","Shape","3","5","because im sure it will work"
"13","11","There are exactly two square-shaped rocks.","12","Shape","3","5","2 blocks has radiation for sure"
"13","21","There are exactly three stick-shaped rocks.","16","Shape","3","8","3 bricks has radiation"
"14","2","There is exactly one square-shaped rock.","6","Shape","2","4","at least one red square"
"14","14","There are exactly two square-shaped rocks.","12","Shape","2","5","at least one green square, or at least two squares of other colours"
"14","19","There are exactly three triangle-shaped rocks.","17","Shape","2","7","at least one red triangle has to be present and at least 3 shapes"
"15","2","There is exactly one square-shaped rock.","6","Shape","3","8","If a square is there. It seems to be radioactive. Unless there is more than 1 square."
"15","21","There are exactly three green rocks.","14","Colour","3","8","3 greens was definitely radioactive."
"15","12","There are exactly two stick-shaped rocks.","10","Shape","3","7","2 sticks of the same colour did it."
"16","22","There are exactly three green rocks.","14","Colour","1","5","Have to use the correct shapes in the correct arrangements to work."
"16","0","There is exactly one red rock.","1","Colour","1","3","closest to what i know works"
"16","10","There are exactly two triangle-shaped rocks.","11","Shape","1","5","as long as you placed the same shapes upright spacing doesn't seem important"
"17","11","There are exactly two red rocks.","7","Colour","1","4","Maybe because it’s the same shape and colour "
"17","23","There are exactly three square-shaped rocks.","18","Shape","1","5","Because it’s a combination I’ve already tried "
"17","6","There is exactly one stick-shaped rock.","4","Shape","1","4","Because they are similar to the ones that did "
"18","11","There are exactly two square-shaped rocks.","12","Shape","2","7","Use two reddish squares only in combination with a rectangle and triangle, colour does not matter "
"18","26","There are exactly three square-shaped rocks.","18","Shape","2","5","I'm not sure on this one - I did one of my tests wrong I think"
"18","6","There is exactly one purple rock.","3","Colour","2","7","a single purple works with any other shapes as long as the other objects are a different colour"
"19","26","There are exactly three square-shaped rocks.","18","Shape","1","5","I think this one seems the one that caused radiation"
"19","14","There are exactly two square-shaped rocks.","12","Shape","1","3","I think to have the rocks the same distant apart"
"19","4","There is exactly one triangle-shaped rock.","5","Shape","1","5","I think to have a rock on its own "
"20","8","There is exactly one purple rock.","3","Colour","3","7","One purple square only with any shape of another colour."
"20","19","There are exactly three triangle-shaped rocks.","17","Shape","3","8","Any colour combination of 3 triangles.  No other shape will create radiation"
"20","13","There are exactly two green rocks.","8","Colour","3","5","Two blue of any shape"
"21","26","There are exactly three purple rocks.","15","Colour","3","8","On planet D, it takes three purple rocks, of any shape, to cause radiation.  Any less, or any other colours mixed in prevent radiation."
"21","9","There are exactly two red rocks.","7","Colour","3","5","Two identical RED shapes. No other shapes or colours can be present."
"21","1","There is exactly one red rock.","1","Colour","3","8","1 and only 1 red causes radiation - but can have >= 0 OTHER colours and/or SHAPES"
"22","2","There is exactly one red rock.","1","Colour","1","5","Very hard to say what a rule would be given I only had 8 choices the oblong shapes to me seemed to produce more stars for the radiation I chose one of each colour which seems to work so I will stick with them results"
"22","9","There are exactly two red rocks.","7","Colour","1","5","The only results that created radiation was the experiment of 2 red rectangles so that's got to be my choice no other choice than that"
"22","26","There are exactly three purple rocks.","15","Colour","1","5","The purple was definitely the colour to produce radiation I was undecided on the best combination and I thought the three triangles provided the best combination but it could so easily have been the mixture of all three he's just trying to remember what I saw"
"23","11","There are exactly two square-shaped rocks.","12","Shape","2","7","There must be 2 red squares and any other shape as long as it is not another sqaure "
"23","7","There is exactly one purple rock.","3","Colour","2","8","there has to be maximum one blue shape and the last two shapes can be any combination as long as not blue"
"23","26","There are exactly three purple rocks.","15","Colour","2","8","All three shapes must be blue"
"24","3","There is exactly one stick-shaped rock.","4","Shape","2","5","- There needs to be present a red square rock or a purple triangle rock or a green stick rock
- There needs to be present at least 1 of the above in the combination
- They can combine with other different rocks in shape or colour"
"24","26","There are exactly three purple rocks.","15","Colour","2","8","- it has to be purple
- all the rock shapes needs to have the same purple colour
- they can vary in shape"
"24","11","There are exactly two red rocks.","7","Colour","2","7","- Needs to have 2 red square rocks in the combination to cause radiation "
"25","13","There are exactly two green rocks.","8","Colour","1","4","The rocks have to be green. If there are more than three rocks, then at least two of them have to be the same shape."
"25","0","There is exactly one red rock.","1","Colour","1","6","A red stick rock has to be present and can be in combination with any other shaped rock and any other colour. However, radiation will not be caused if the red stick is with any other red shaped rock."
"25","18","There are exactly three stick-shaped rocks.","16","Shape","1","7","There has to be three stick shaped rocks but they can be of any colour combination. "
"26","1","There is exactly one triangle-shaped rock.","5","Shape","1","5","three shapes combined creates radation"
"26","21","There are exactly three green rocks.","14","Colour","1","6","same shapes of green color"
"26","16","There are exactly two triangle-shaped rocks.","11","Shape","1","6","two triangles "
"27","12","There are exactly two green rocks.","8","Colour","2","6","Each arrangement must contain two green oblong shapes alongside other shapes"
"27","18","There are exactly three stick-shaped rocks.","16","Shape","2","7","Planet E needs to have three oblong shapes of any colours to create radiation"
"27","2","There is exactly one red rock.","1","Colour","2","6","the arrangement needs to have a pink shape either on it's own or with other shapes that can be different colours. Pink musr always be present"
"28","25","There are exactly three triangle-shaped rocks.","17","Shape","1","8","It's clearly triangles and threes, so I'd suspect color combos would work, as well."
"28","5","There is exactly one square-shaped rock.","6","Shape","1","4","Squares of like coloration produce radiation."
"28","10","There are exactly two red rocks.","7","Colour","1","8","Anything with two red rocks will produce radiation.
"
"29","12","There are exactly two green rocks.","8","Colour","3","5","i think the rule for planet D is that you need two green rocks of the same shape added together. for example, you can have 2 squares together, or 2 triangles or 2 sticks together and they must all be green. however, you cannot mix the shapes, ie. you cannot have 1 green square and 1 green triangle."
"29","21","There are exactly three stick-shaped rocks.","16","Shape","3","7","the rule for planet E is 3 sticks added together in any colour combination will produce radiation when heated."
"29","3","There is exactly one stick-shaped rock.","4","Shape","3","8","i think the rule for planet F is that any combination of shape and colour can be added as long as there is 1 stick present. the colour of the stick is irrelevant but there can not be any more than 1 present in any given combination."
"30","8","There is exactly one purple rock.","3","Colour","1","4","Different colour has to be used for each of the 3 objects"
"30","9","There are exactly two red rocks.","7","Colour","1","5","Need 2 red rectangles at least in the arrangement"
"30","23","There are exactly three square-shaped rocks.","18","Shape","1","6","All need to be squares of the same colour"
"31","1","There is exactly one triangle-shaped rock.","5","Shape","1","6","Arrangements starting with a single triangular rock create radiation"
"31","11","There are exactly two red rocks.","7","Colour","1","5","No idea of the rule."
"31","23","There are exactly three square-shaped rocks.","18","Shape","1","8","Arrangements with only square shaped rocks create radiation"
"32","12","There are exactly two stick-shaped rocks.","10","Shape","3","8","Exactly 2 stick shapes are needed to cause radiation. "
"32","3","There is exactly one green rock.","2","Colour","3","8","One green shape causes radiation."
"32","19","There are exactly three red rocks.","13","Colour","3","8","3 red shapes are required to cause radiation."
"33","25","There are exactly three purple rocks.","15","Colour","3","8","I think the rule here is to arrange exactly three purple rocks. The rocks themselves can be any shape, but they have to be purple, and there must be three of them."
"33","10","There are exactly two red rocks.","7","Colour","3","7","I think the rule for Planet E is that radiation can be created by arranging exactly TWO red triangle-shaped rocks. A third rock can also be present in the arrangement, but it cannot be a red shape of any sort."
"33","1","There is exactly one red rock.","1","Colour","3","8","I think the rule for Planet F is that there needs to be exactly ONE red rock (of any shape) present in the arrangement."
"34","6","There is exactly one purple rock.","3","Colour","2","5","The rule is to try different variations of the shapes and colours to see if these cause radiation.  There is numerous variations to try so it could be a long process."
"34","12","There are exactly two stick-shaped rocks.","10","Shape","2","3","I picked the red triangle as that was one of my last tests.  I picked the 2 green sticks as that was the example which was correct and thought that it may work for the three green sticks too."
"34","26","There are exactly three square-shaped rocks.","18","Shape","2","2","I think it could be that the three different shapes of blue may cause the radiation."
"35","10","There are exactly two triangle-shaped rocks.","11","Shape","1","5","need to use 2 triangles"
"35","23","There are exactly three square-shaped rocks.","18","Shape","1","8","Arrange 3 squares, colour doesn't matter"
"35","1","There is exactly one red rock.","1","Colour","1","5","a single red shape"
"36","1","There is exactly one triangle-shaped rock.","5","Shape","3","5","triangle, square and stick all same colour, but can be different colour ie pink triangle, pink square, pink stick."
"36","22","There are exactly three green rocks.","14","Colour","3","7","Must use the blue ones "
"36","10","There are exactly two triangle-shaped rocks.","11","Shape","3","5","two rocks of same colour or 2 rocks of same colour with another rock of same colour but different shape"
"37","19","There are exactly three red rocks.","13","Colour","1","6","i think the rule is that red shapes cause reactions, i thought that also the same shapes are a contributing factor, so i chose two more tests to test my second hypothesis"
"37","17","There are exactly two square-shaped rocks.","12","Shape","1","5","i think the rules are: only square rocks, two at a time, regardless of colour of rock."
"37","7","There is exactly one triangle-shaped rock.","5","Shape","1","5","the rules are, i believe, a single triangle of any colour will cause a reaction.
also, three rocks, triangle, square and stick, possibly of any colour arrangement (but i am not certain of that) will cause a reaction. i think if they are the same colour they will cause a reaction, but the last provided test will tell me if using different colours also creates a reaction."
"38","15","There are exactly two purple rocks.","9","Colour","3","8","there must be two purple rocks "
"38","1","There is exactly one triangle-shaped rock.","5","Shape","3","7","thwere must be a red rock, but not a square on its own "
"38","25","There are exactly three triangle-shaped rocks.","17","Shape","3","8","three triangles needed"
"39","19","There are exactly three triangle-shaped rocks.","17","Shape","3","5","3 pink triangles definitely works"
"39","15","There are exactly two stick-shaped rocks.","10","Shape","3","6","Any formation with two sticks seems to work"
"39","1","There is exactly one triangle-shaped rock.","5","Shape","3","8","One triangle with other shapes"
"40","13","There are exactly two triangle-shaped rocks.","11","Shape","1","7","different shapes"
"40","19","There are exactly three triangle-shaped rocks.","17","Shape","1","6","same colour and shape"
"40","7","There is exactly one triangle-shaped rock.","5","Shape","1","5","different shapes and colours"
"41","8","There is exactly one square-shaped rock.","6","Shape","1","3","Matching colours = radiation regardless of the shape.
Once colours are mixed, the radiation is cancelled out."
"41","25","There are exactly three triangle-shaped rocks.","17","Shape","1","7","Three triangles, regardless of colour will cause radiation. Addition of any other shape does not cause radition."
"41","12","There are exactly two stick-shaped rocks.","10","Shape","1","8","The rule is that there has to be 'two lines', colour does not matter. Any shape can be added with the two lines, but no more than two lines must be present."
"42","23","There are exactly three square-shaped rocks.","18","Shape","3","8","the rule was that there had to be 3 square shapes"
"42","6","There is exactly one purple rock.","3","Colour","3","5","one shape of purple "
"42","12","There are exactly two stick-shaped rocks.","10","Shape","3","8","there has to be 2 stick shaped rocks"
"43","15","There are exactly two stick-shaped rocks.","10","Shape","1","7","Two stick shaped rocks must be present to cause a radiation.
The two stick shaped rock do not have to be the same colour."
"43","8","There is exactly one purple rock.","3","Colour","1","6","At least one purple rock must be present for a radiation to occur."
"43","24","There are exactly three purple rocks.","15","Colour","1","8","Three purple rocks must be combined to get a radiation on planet F."
"44","0","There is exactly one stick-shaped rock.","4","Shape","1","4","I think it only works with a minimum of one stick and no other shapes and or colours."
"44","17","There are exactly two square-shaped rocks.","12","Shape","1","7","It must have two squares of any colour and no more. It can have additional shapes and colours"
"44","21","There are exactly three green rocks.","14","Colour","1","8","Three blue pieces will cause radiation when heated."
"45","11","There are exactly two red rocks.","7","Colour","2","8","I think the rule is that you must have exactly two red rocks of any shape to create radiation on Planet D"
"45","2","There is exactly one square-shaped rock.","6","Shape","2","8","I think having exactly one square rock of any colour will cause radiation, regardless of the presence/absence of other rock shapes and colours"
"45","18","There are exactly three red rocks.","13","Colour","2","8","I think the rule is that you must have 3 red rocks of any shape to create radiation"
"46","8","There is exactly one purple rock.","3","Colour","3","5","One purple shape regardless of shape. The same shape providing all are different colours."
"46","14","There are exactly two square-shaped rocks.","12","Shape","3","5","Square regardless of colour is one rule. I didn't find other rules, so not sure if other rules exist."
"46","24","There are exactly three purple rocks.","15","Colour","3","8","3 purple shapes in matching or random shape arrangements "
"47","0","There is exactly one stick-shaped rock.","4","Shape","3","6","For there to be only 1 rectangle in the arrangement"
"47","14","There are exactly two square-shaped rocks.","12","Shape","3","8","For there to be excactly 2 squares in the arrangement, no more and no less"
"47","26","There are exactly three purple rocks.","15","Colour","3","8","For there to be 3 purples shapes in the arrangement"
"48","10","There are exactly two red rocks.","7","Colour","3","8","exactly 2 red blocks have to be present"
"48","20","There are exactly three square-shaped rocks.","18","Shape","3","8","exactly 3 square shapes present regardless of colour"
"48","6","There is exactly one purple rock.","3","Colour","3","8","exactly one purple rock has to be present, regardless of shape"
"49","21","There are exactly three green rocks.","14","Colour","2","8","3 green shapes"
"49","7","There is exactly one purple rock.","3","Colour","2","8","One purple shape only"
"49","17","There are exactly two purple rocks.","9","Colour","2","8","Two purple shapes (ONLY) "
"50","8","There is exactly one purple rock.","3","Colour","2","5","because it has been the blue square all along and so has to be this time too"
"50","16","There are exactly two purple rocks.","9","Colour","2","5","iy has been two triangles all along so will be now  "
"50","22","There are exactly three green rocks.","14","Colour","2","5","as all was same and it had the three green triangles "
"51","4","There is exactly one green rock.","2","Colour","3","6","I think the rule is as long as the green triangle is there and the other shapes are of different colours than green, then it would work"
"51","24","There are exactly three stick-shaped rocks.","16","Shape","3","8","I think as long as there are three long thin rectangles it works, regardless of their colour"
"51","17","There are exactly two square-shaped rocks.","12","Shape","3","8","As long as the arrangement has two cubes it will work"
"52","25","There are exactly three purple rocks.","15","Colour","1","8","I think the rocks just have to be purple, shape or repetition does not matter. I realised that I haven't tried mine purple with other colours though so that would still be interesting to see"
"52","11","There are exactly two square-shaped rocks.","12","Shape","1","5","Definitely has to include two squares of any colour, I've realised I haven't tried to add a third rock though as it worked without"
