"pid","trial","rule","rule_nr","rule_re","condition","accuracy","report_rule"
"52","4","There is exactly one green rock.","2","Colour","1","8","I think the rule is the arrangement has to include exactly one green rock, either on its own or combined with anything. Three doesn't work but I realise I have not tried two"
"53","20","There are exactly three red rocks.","13","Colour","2","8","Colour is the deciding factor on this planet to the production of radiation."
"53","17","There are exactly two square-shaped rocks.","12","Shape","2","5","Two blocks in a square seemed to be the correct combination, colour did not seem to matter."
"53","3","There is exactly one stick-shaped rock.","4","Shape","2","6","I didn't test it, but i believe having only one stick of any colour with any combination of other shape will produce radiation"
"54","20","There are exactly three square-shaped rocks.","18","Shape","2","8","Exactly three squares, of any colour combination, causes radiation"
"54","0","There is exactly one red rock.","1","Colour","2","5","One red shape causes radiation"
"54","12","There are exactly two stick-shaped rocks.","10","Shape","2","5","Exactly two sticks of any colour"
"55","16","There are exactly two purple rocks.","9","Colour","1","6","Each have two purple triangles. I think that maybe, you just need two rocks of the same shape and colour and the final one does not matter as much."
"55","8","There is exactly one purple rock.","3","Colour","1","5","Pattern may be that three different colours are required to produce energy."
"55","19","There are exactly three red rocks.","13","Colour","1","8","All rocks are red -  the shape is not a factor."
"56","13","There are exactly two triangle-shaped rocks.","11","Shape","2","8","You need two triangles, of any colour, either on their own or with any other shape, again of any colour"
"56","18","There are exactly three stick-shaped rocks.","16","Shape","2","7","Three sticks, of any mix of colours"
"56","3","There is exactly one green rock.","2","Colour","2","5","The rule is you need one green stick on its own, or one green stick with 1 or 2 other sticks of different colours"
"57","26","There are exactly three square-shaped rocks.","18","Shape","3","8","The blue/purple rocks seem to be a main driver for the test (as they are present in a majority of them). Less success around the green rocks (as there are fewer. There seems to be more success with the introduction of a mixture of the blue/purple rocks and the red blocks in certain sequences."
"57","0","There is exactly one red rock.","1","Colour","3","5","It appears that the red rectangular rock is a catalyst for the radiation (as seen through my own tests). I've therefore concluded that the red rectangular is required to produce radiation, influencing my selection here."
"57","15","There are exactly two stick-shaped rocks.","10","Shape","3","8","Based on my own tests, seeing that the combination requires two rectangles so selected accordingly. Started to consider whether needs at least one rectangle (blue) to be active. "
"58","21","There are exactly three green rocks.","14","Colour","2","8","all 3 of the rocks must be green but it does not matter what shape they are"
"58","9","There are exactly two stick-shaped rocks.","10","Shape","2","7","There has to be two rectangles and it doesn't matter what colours they are. It also works if there is another rock that is square or triangular but when there are three rectangles it does not work"
"58","1","There is exactly one red rock.","1","Colour","2","4","the red triangle radiates when alone or with another triangle that is a different colour. It does not work with same coloured triangles or other shapes"
"59","16","There are exactly two triangle-shaped rocks.","11","Shape","2","8","exactly two traingles of any colour but no more than two"
"59","20","There are exactly three square-shaped rocks.","18","Shape","2","8","exactly three squares of any colour"
"59","2","There is exactly one red rock.","1","Colour","2","5","If the only red item is square"
"60","10","There are exactly two red rocks.","7","Colour","1","6","At least two red triangles."
"60","22","There are exactly three green rocks.","14","Colour","1","8","The rule is any three green rocks."
"60","3","There is exactly one green rock.","2","Colour","1","7","Any arrangement that contains one and only one green rock."
"61","5","There is exactly one square-shaped rock.","6","Shape","2","8","Presence of only one square rock of any colour with any combination of triangles and long rocks."
"61","19","There are exactly three red rocks.","13","Colour","2","8","3 pink rocks of any shape."
"61","16","There are exactly two triangle-shaped rocks.","11","Shape","2","5","Exactly 2 triangle rocks with no other rocks present. "
"62","21","There are exactly three stick-shaped rocks.","16","Shape","1","5","Using the same shape and colour x 3 times and duplicating the first one"
"62","2","There is exactly one square-shaped rock.","6","Shape","1","5","A cube in any colour"
"62","10","There are exactly two red rocks.","7","Colour","1","5","2 red shapes the same"
"63","0","There is exactly one stick-shaped rock.","4","Shape","3","8","Exactly one stick shaped rock."
"63","12","There are exactly two green rocks.","8","Colour","3","8","Exactly two green shapes."
"63","26","There are exactly three purple rocks.","15","Colour","3","8","Exactly three blue shapes"
"64","20","There are exactly three red rocks.","13","Colour","3","8","I think that having all 3 pink rocks cause radiation"
"64","12","There are exactly two stick-shaped rocks.","10","Shape","3","6","It seems that having 2 sticks present cause radiation"
"64","3","There is exactly one green rock.","2","Colour","3","8","the rule is having one green shape present"
"65","14","There are exactly two square-shaped rocks.","12","Shape","2","5","2 green square rocks"
"65","25","There are exactly three triangle-shaped rocks.","17","Shape","2","7","2 or more triangles only"
"65","6","There is exactly one purple rock.","3","Colour","2","7","One purple triangle which has to be with at least one other shape of a different colour and shape"
"66","4","There is exactly one green rock.","2","Colour","2","7","The need for any shape with the colour light blue is required for radiation. This also needs to joined with another shape of any different colour to cause radiation. I suspect two light blue will not cause radiation."
"66","13","There are exactly two green rocks.","8","Colour","2","5","I did not test with two light blue colour shapes and another colour shape for radiation but as it did not work with three light blue shapes I thought radiation may only work with two light blue shapes. I found on test two the same shapes in different colours didn't cause radiation so I thought maybe the same shape in the same colour twice would not cause radiation either."
"66","26","There are exactly three square-shaped rocks.","18","Shape","2","7","In does not matter if we use different shapes but there must be three squares with a dark blue involved for radiation. In test 3 when I eliminated the dark blue there was no radiation so I will presume this is required. "
"67","11","There are exactly two square-shaped rocks.","12","Shape","3","8","At least two squares but not three. Two squares plus any other one except square causes a reaction"
"67","23","There are exactly three square-shaped rocks.","18","Shape","3","8","All three squares regardless of colour"
"67","8","There is exactly one square-shaped rock.","6","Shape","3","6","Either one square of one colour or full colour set"
"68","7","There is exactly one triangle-shaped rock.","5","Shape","3","8","There needs to be exactly one triangle in arrangment"
"68","15","There are exactly two stick-shaped rocks.","10","Shape","3","7","As long as there are two stick shapes radition will occur"
"68","18","There are exactly three red rocks.","13","Colour","3","8","All shapes have to match in colour, specifically pink"
"69","20","There are exactly three square-shaped rocks.","18","Shape","1","6","Must contain at least 2 squares either both red or  1red and 1 green"
"69","9","There are exactly two red rocks.","7","Colour","1","5","Any two shapes that are red"
"69","2","There is exactly one red rock.","1","Colour","1","8","Any red shape added to the arrangement but only 1 red shape"
"70","26","There are exactly three purple rocks.","15","Colour","3","8","Three purple"
"70","9","There are exactly two red rocks.","7","Colour","3","8","two orange shapes"
"70","2","There is exactly one square-shaped rock.","6","Shape","3","8","just one sqaure"
"71","20","There are exactly three square-shaped rocks.","18","Shape","1","6","All of the rocks need to be the same colour and square."
"71","13","There are exactly two triangle-shaped rocks.","11","Shape","1","5","It seemed to only work with triangles"
"71","8","There is exactly one purple rock.","3","Colour","1","6","I think it is purple square with one other shape of a different colour"
"72","6","There is exactly one stick-shaped rock.","4","Shape","1","6","From the tests I've done I think as long as there's a single blue stick in the arrangement then you will get radiation."
"72","14","There are exactly two green rocks.","8","Colour","1","6","As long as there are at least two green squares in the arrangement then it will be successful"
"72","18","There are exactly three stick-shaped rocks.","16","Shape","1","7","Only 3 sticks will work. No matter the colour. "
"73","6","There is exactly one stick-shaped rock.","4","Shape","2","5","Either one shape alone but must be purple can be radioactive or 3 different shapes of the same colour purple are radioactive."
"73","24","There are exactly three stick-shaped rocks.","16","Shape","2","7","They must be 3 rectangles of the same colour"
"73","15","There are exactly two stick-shaped rocks.","10","Shape","2","5","Only two rectangle shapes can react and create radiation. They can be random in colour but it must be two and of the shape rectangle"
"74","21","There are exactly three green rocks.","14","Colour","3","8","All three rocks must be green"
"74","3","There is exactly one green rock.","2","Colour","3","7","There must be one green stone in the arrangement and it must be rectangular"
"74","15","There are exactly two purple rocks.","9","Colour","3","8","There must be at least 2 blue stones, but all 3 cannot be the same "
"75","24","There are exactly three stick-shaped rocks.","16","Shape","1","3","Same rock shape and colour when heated will cause radiation on planet D"
"75","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","Rocks of different colour and shape when heated can cause radiation"
"75","3","There is exactly one stick-shaped rock.","4","Shape","1","5","Different rocks of shape and colour when heated can cause radiation"
"76","1","There is exactly one triangle-shaped rock.","5","Shape","3","8","Exactly one triangle rock"
"76","22","There are exactly three triangle-shaped rocks.","17","Shape","3","8","exactly 3 triangle rocks"
"76","14","There are exactly two square-shaped rocks.","12","Shape","3","8","exactly 2 square rocks"
"77","25","There are exactly three triangle-shaped rocks.","17","Shape","1","5","it is the only option I tested, so I am sure of my answer"
"77","14","There are exactly two square-shaped rocks.","12","Shape","1","5","this set up worked for me every time, so that is my choice."
"77","5","There is exactly one square-shaped rock.","6","Shape","1","5","sticking with one square, have enough evidence it produces radiation"
"78","26","There are exactly three purple rocks.","15","Colour","3","5","THE RULES FOR PLANET D SUGGEST THAT BLUE COLOURED OBJECTS GROUPED IN THREES WILL PRODUCE RADIATION THE OTHER RULES ARE UNCLEAR TO BE AT THE MOMENT"
"78","9","There are exactly two red rocks.","7","Colour","3","5","THE RULE THAT I CAN SPOT IS THAT TWO BROWN STICK GROUP TOGEATHER WILL PRODUCE RADIATION THE OTHER PATTERNS ARE UNCLEAR TO ME AT THE MOMENT"
"78","5","There is exactly one square-shaped rock.","6","Shape","3","5","WHAT I HAVE LEARNED IS THAT A SINGLE SQUARE WILL PRODUCE RADIATION NO MATTER WHAT COLOUR IT IS THE REST OF THE RULES TO PRODUCE RADIATION ARE UNCLEAR TO ME"
"79","20","There are exactly three square-shaped rocks.","18","Shape","1","8","A sequence a three squares need to be selected. These can be of any colour combination."
"79","5","There is exactly one green rock.","2","Colour","1","5","Single green shapes"
"79","14","There are exactly two square-shaped rocks.","12","Shape","1","6","Two squares and a thin rectangle piece, any colour"
"80","20","There are exactly three square-shaped rocks.","18","Shape","1","8","that they all have to be the same shape and possibly the same colour"
"80","1","There is exactly one red rock.","1","Colour","1","4","Triangles were a significant factor and the colour"
"80","11","There are exactly two red rocks.","7","Colour","1","6","The ones I picked were closely related to the radiations I have tried to find "
"81","19","There are exactly three triangle-shaped rocks.","17","Shape","3","8","Based on my tests I determined the arrangement rule on Planet D is there must be 3 triangle-shaped rocks to cause radiation"
"81","9","There are exactly two red rocks.","7","Colour","3","8","Exactly 2 red colored rocks must be in the arrangement. They can be any shapes but there cannot be more than or less than 2, and they can be paired with any shaped third rock as long as it is not a third red"
"81","2","There is exactly one red rock.","1","Colour","3","8","Based on my tests I determined the rule for this planet is that the arrangement must contain exactly one red colored rock, at least one but no more than one and it can be paired with any non-red rocks and they can be any shape"
"82","2","There is exactly one square-shaped rock.","6","Shape","2","5","onesquare and two sticks. However would need to see if 2 of other shapes would work if you used 1 square to rule out other combinations"
"82","12","There are exactly two stick-shaped rocks.","10","Shape","2","7","2 sticks and one other shape"
"82","19","There are exactly three red rocks.","13","Colour","2","6","must use 1  red triangle and two red shapes which can be the same or combinations"
"83","16","There are exactly two purple rocks.","9","Colour","1","5","I think the purple shapes are the key . You need at least 2 purple shapes and one shape from the other colour to make a success . Not enough tests have been done to definitely commit to this but from tests have done it seems to be a reasonable guess "
"83","23","There are exactly three green rocks.","14","Colour","1","5","I think the shape does not matter and as long as the green rocks are used then success in obtaining radiation from this rule will occur "
"83","4","There is exactly one triangle-shaped rock.","5","Shape","1","5","I think as long as a  triangle is placed into the mix and only one triangle combined with another shape , then success is given . The triangle can also be on its own and provide radiation "
"84","17","There are exactly two square-shaped rocks.","12","Shape","1","5","I think that two squares no matter their colour will always create radiation (in case there are only 2 shapes in the arrangement). I haven't tested two squares and 1 additional different shape, so my conclusion is that the arrangement should have only 2 squares of the same or different colours for radiation to occur."
"84","22","There are exactly three green rocks.","14","Colour","1","8","Any 3 green shapes create radiation"
"84","8","There is exactly one square-shaped rock.","6","Shape","1","7","A purple square in combination with either one other or two other shapes (neither of the one/two other shapes should be a square) of either purple, green or red colour  will create radiation"
"85","20","There are exactly three red rocks.","13","Colour","3","8","in radiation D, all shapes have to be red, think that is the rule for planet d"
"85","5","There is exactly one green rock.","2","Colour","3","3","i didn't realise you could pick 2 same shapes of same colour, so im saying these as it seems to be in the same sequence"
"85","10","There are exactly two red rocks.","7","Colour","3","4","im thinking all red shapes and colours is right, so it goes on the colour not the shape."
"86","9","There are exactly two red rocks.","7","Colour","2","8","i think you must have 2 red rocks no more and no less. the thrid rock can be either green or purple and any shape "
"86","23","There are exactly three green rocks.","14","Colour","2","8","all rocks must be green but any shape "
"86","4","There is exactly one green rock.","2","Colour","2","8","there need to be exactly 1 green rock of any shape on its own or with any other shapes ad colours "
"87","0","There is exactly one stick-shaped rock.","4","Shape","2","5","As long as there is at least one shape regardless of the color it should work "
"87","25","There are exactly three purple rocks.","15","Colour","2","4","because they need at least one shape of that color"
"87","11","There are exactly two square-shaped rocks.","12","Shape","2","8","they have to be two shapes regardless of the color but less or more would not work "
"88","19","There are exactly three triangle-shaped rocks.","17","Shape","3","8","I think the rule is to have 3 triangles in the arrangement. It does not matter if the colours within the arrangement are the same. "
"88","0","There is exactly one stick-shaped rock.","4","Shape","3","8","I think the rule is that there has to be exactly one stick shape present. "
"88","10","There are exactly two red rocks.","7","Colour","3","8","The rule is that there must be exactly 2 red shapes present in the arrangement. "
"89","20","There are exactly three square-shaped rocks.","18","Shape","1","5","i think there have to be three shapes the same and also all of the same colour"
"89","4","There is exactly one triangle-shaped rock.","5","Shape","1","5","one triangle of any colour creates radiation"
"89","15","There are exactly two purple rocks.","9","Colour","1","5","to follow the initial example but then try different colours and shapes until they are eliminated"
"90","23","There are exactly three square-shaped rocks.","18","Shape","1","5","All blocks the same"
"90","1","There is exactly one red rock.","1","Colour","1","5","single brown block"
"90","12","There are exactly two green rocks.","8","Colour","1","5","same green colour"
"91","11","There are exactly two square-shaped rocks.","12","Shape","2","8","2 squares have to be present - they can be any colour and can be a combination of any 2 colours. They don't have to be present with any other shapes but will still cause radiation when present with one other shape (either stick or triangle) of any colour"
"91","21","There are exactly three green rocks.","14","Colour","2","8","Any 3 shapes that are all green. No other colours and no less than 3 in total."
"91","8","There is exactly one square-shaped rock.","6","Shape","2","5","That there needs to be only 1 purple square. There can be either of the 2 other purple shapes, either the same or different. 3 maximum but only 1 purple square. No other colours"
"92","4","There is exactly one triangle-shaped rock.","5","Shape","2","5","start with a green triangle"
"92","13","There are exactly two green rocks.","8","Colour","2","5","the rule for this planet is two green triangles only"
"92","18","There are exactly three red rocks.","13","Colour","2","5","all three symbols myst be red but two of them must be stick shaped"
"93","8","There is exactly one square-shaped rock.","6","Shape","2","8","The rule is that radiation is present as long as there is one square present"
"93","23","There are exactly three square-shaped rocks.","18","Shape","2","8","radiation is present if there are 3 squares"
"93","9","There are exactly two stick-shaped rocks.","10","Shape","2","6","having two stick shape stones makes radiation happen"
"94","20","There are exactly three square-shaped rocks.","18","Shape","2","8","There has to be three square rocks (of any colour) to create radiation"
"94","5","There is exactly one square-shaped rock.","6","Shape","2","5","A single square rock is needed to create radiation"
"94","10","There are exactly two triangle-shaped rocks.","11","Shape","2","7","Two triangular rocks must be present to create radiation "
"95","15","There are exactly two stick-shaped rocks.","10","Shape","2","7","Two rectangle shapes must be present"
"95","18","There are exactly three stick-shaped rocks.","16","Shape","2","7","There needs to be three rectangles present. Colour doesn't matter."
"95","4","There is exactly one green rock.","2","Colour","2","5","Radiation occurs when there is one green object and no others"
"96","24","There are exactly three purple rocks.","15","Colour","2","8","The rule is that 3 purple objects are required"
"96","8","There is exactly one purple rock.","3","Colour","2","8","Arrangements with just one purple item of any shape in it will cause radiation"
"96","9","There are exactly two stick-shaped rocks.","10","Shape","2","8","Any thing with 2 sticks of any colour will cause radiation"
"97","8","There is exactly one square-shaped rock.","6","Shape","1","5","i think either all shapes have to be present in different colours, or all of one colour square must be present as in the tests, a purple square on its own caused radiation. with that in mind, 2 purple squares should cause radiation too. "
"97","16","There are exactly two triangle-shaped rocks.","11","Shape","1","5","i think it has to be triangles and they can be either the same colour or different colours but there has to be only 2."
"97","21","There are exactly three stick-shaped rocks.","16","Shape","1","8","i think that there must be 3 shapes and they must be sticks in order to cause radiation, the assortment of colours do not seem to matter"
"98","24","There are exactly three purple rocks.","15","Colour","2","8","The determinant is the colour, while shape or position is not relevant. You need three rocks of the same colour."
"98","15","There are exactly two purple rocks.","9","Colour","2","5","Two rocks of the same colour produce radiation"
"98","1","There is exactly one triangle-shaped rock.","5","Shape","2","5","It looks as if radiation is produced only with the presence of one triangle of any colour"
"99","17","There are exactly two purple rocks.","9","Colour","2","4","Must be only purple squares"
"99","1","There is exactly one red rock.","1","Colour","2","4","I think it must include a red triangle, or it could include any coloured triangle"
"99","26","There are exactly three purple rocks.","15","Colour","2","8","I think it must include some sort of purple"
"100","13","There are exactly two triangle-shaped rocks.","11","Shape","1","5","The rule to set up arrangements to cause radiation on Planet D is to have two triangle shapes of either the same colour or different colours. The shape must be triangle, and there cannot be more than two rocks."
"100","26","There are exactly three square-shaped rocks.","18","Shape","1","8","From the eight tests, I have determined that, to cause radiation on Planet E, three squared rocks must be used. These can be of any colour. Only square rocks can be used. Rectangles will not cause radiation, nor will they cause radiation combined with squared rocks. I did not test triangles, but given the tests, I assume that they do not cause radiation and only square rocks are good to cause radiation on Planet E."
"100","6","There is exactly one purple rock.","3","Colour","1","5","From the tests, I have determined that the arrangement to create radiation on Planet F must be of one purple rock only."
"101","7","There is exactly one triangle-shaped rock.","5","Shape","2","6","I think the rule is strictly one purple triangle"
"101","26","There are exactly three purple rocks.","15","Colour","2","8","The purple color causes the radiation...so any three shapes of colour purple will cause the radiation"
"101","9","There are exactly two stick-shaped rocks.","10","Shape","2","8","Only two rectangle shapes, irrespective of the colour"
